Cost;Codex;Weapon ;Range ;Type en shots;S ;AP ;D ;Abilities
1;x;A;Melee ;Melee;User ;2;1;
2;x;B;12;Assault 3;5;2;1;
3;x;C;Melee ;Melee;User ;2;1;
4;x;D;12;Assault 3;5;2;1;
5;x;E;Melee ;Melee;User ;2;1;
6;x;F;12;Assault 3;5;2;1;
7;dg;Plagueburst Mortar;"12""-48""";Heavy D6;8;-2;D3;Plague Weapon. This weapon can target units that are not visible to the bearer.
8;dg;Improvised weapon;Melee;Melee;User;0;1;-
90;dg;Plaguespitter;"9""";Assault D6;User;-1;1;Plague Weapon.This weapon automatically hits its target.
11;dg;Injector pistol;"3""";Pistol 1;4;-1;D6;Plague Weapon. This weapon's damage changes to 1 when attacking VEHICLES.
12;dg;Hyper Blight Grenades;"6""";Grenade D6;4;0;2;Plague Weapon. Each wound roll of 6+ made for this weapon inflicts a mortal wound in addition to any other damage.
13;dg;Bubotic Axe;Melee;Melee;1;-2;1;You can re-roll wound rolls of 1 for this weapon.
14;dg;Great plague cleaver;Melee;Melee;x2;-3;D6;When attacking with this weapon, you must subtract 1 from the hit roll. You can re-roll wound rolls of 1 for this weapon.
15;dg;Contagion spray;"9""";Pistol 2D3;*;-2;1;Attacks made with this weapon automatically hit the selected target. This weapon always wounds on a result of a 2+ unless the target unit has the VEHICLE keyword, in which case a result of 6+ is required.
